readout	order	layer	ChipID	payload	location	isCol	timestamp	tot_msb	tot_lsb	tot_total	tot_us	fpga_ts
0	39	1	0	4	22	False	30	9	181	2485	24.85	0
0	40	1	0	4	3	True	30	9	163	2467	24.67	0
0	41	1	0	4	25	False	5	7	28	1820	18.2	0
0	42	1	0	4	27	True	5	7	9	1801	18.01	0
0	43	1	0	4	0	False	231	11	88	2904	29.04	0
0	44	1	0	4	4	False	2	4	6	1030	10.3	0
0	45	1	5	6	20	True	231	11	65	2881	28.81	15677
0	46	1	0	4	13	False	248	10	196	2756	27.56	0
0	47	1	0	4	26	True	248	10	178	2738	27.38	0
0	48	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	49	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	50	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	51	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	52	-1	-1	-1	-1	True	-1	-1	-1	-1	-1.0	-1
0	53	1	0	4	17	False	122	3	243	1011	10.11	0
0	54	1	0	4	12	True	122	3	226	994	9.94	0
0	55	1	0	4	0	False	186	0	137	137	1.37	0
0	56	1	0	4	18	True	186	0	118	118	1.18	0
0	57	207	0	0	0	False	0	0	10	10	0.1	2325742593
0	58	232	0	0	0	False	0	0	10	10	0.1	1
